Dataset,Model,Attack,K-Ratio,Dynamic,Iteration,Accuracy,ASR,L0,Sparsity,L2,Linf,SSIM,PSNR,LPIPS,Time(s)
cifar10,Standard,Sparse-PGD,0.5,False,10,0.0,1.0,895.2000122070312,0.12578123807907104,1.1099989414215088,0.03137257695198059,0.9775727987289429,33.964149475097656,0.0009768011514097452,0.6031558513641357
cifar10,Standard,GreedyFool,0.5,False,10,0.0,1.0,883.2999877929688,0.13740235567092896,1.0257477760314941,0.03137257695198059,0.9787011742591858,34.63643264770508,0.0008805794641375542,0.5368270874023438
cifar10,Standard,Proposed-TopkPGD,0.5,True,1,0.4000000059604645,0.6000000238418579,512.0,0.5,0.30703219771385193,0.007843166589736938,0.997706413269043,45.1304817199707,6.820756243541837e-05,0.5960488319396973
cifar10,Standard,Proposed-TopkPGD,0.5,True,2,0.0,1.0,605.0999755859375,0.4090820550918579,0.4658345580101013,0.01568630151450634,0.9951332807540894,41.4980354309082,0.00015986882499419153,0.7501418590545654
cifar10,Standard,Proposed-TopkPGD,0.5,True,3,0.0,1.0,572.9000244140625,0.4405273199081421,0.585081934928894,0.02352943643927574,0.9926839470863342,39.506202697753906,0.0002700324112083763,0.793787956237793
cifar10,Standard,Proposed-TopkPGD,0.5,True,4,0.0,1.0,585.5,0.42822265625,0.6917521953582764,0.03137257322669029,0.9899184703826904,38.03421401977539,0.0004077104094903916,0.8386261463165283
cifar10,Standard,Proposed-TopkPGD,0.5,True,5,0.0,1.0,612.5999755859375,0.4017578363418579,0.7610743045806885,0.03137257695198059,0.9877978563308716,37.21293258666992,0.00047571025788784027,0.8828990459442139
cifar10,Standard,Proposed-TopkPGD,0.5,True,6,0.0,1.0,612.5,0.40185546875,0.8101686239242554,0.03137257695198059,0.9861655235290527,36.672977447509766,0.0005972334183752537,0.9256319999694824
cifar10,Standard,Proposed-TopkPGD,0.5,True,7,0.0,1.0,606.0,0.408203125,0.8462835550308228,0.03137257695198059,0.9849541187286377,36.29747772216797,0.0006344637367874384,0.9674890041351318
cifar10,Standard,Proposed-TopkPGD,0.5,True,8,0.0,1.0,610.7999877929688,0.40351563692092896,0.8752208948135376,0.03137257695198059,0.9839261770248413,36.011051177978516,0.0006803171127103269,1.009552240371704
cifar10,Standard,Proposed-TopkPGD,0.5,True,9,0.0,1.0,619.9000244140625,0.3946288824081421,0.9016826748847961,0.03137257695198059,0.9829468727111816,35.75719451904297,0.0006761425756849349,1.050529956817627
cifar10,Standard,Proposed-TopkPGD,0.5,True,10,0.0,1.0,555.9000244140625,0.4571288824081421,0.9128362536430359,0.03137257695198059,0.9828366041183472,35.651126861572266,0.0007144760456867516,1.0909039974212646
cifar10,Standard,Sparse-PGD,1.0,False,10,0.0,1.0,1023.9000244140625,9.763240814208984e-05,1.2528727054595947,0.03137257695198059,0.9709736108779907,32.912811279296875,0.0011446791468188167,0.5843040943145752
cifar10,Standard,GreedyFool,1.0,False,10,0.0,1.0,996.0,0.02734375,1.200597882270813,0.03137257695198059,0.9734793901443481,33.2729606628418,0.0010133757023140788,0.5959627628326416
cifar10,Standard,Proposed-TopkPGD,1.0,True,1,0.30000001192092896,0.699999988079071,1024.0,0.0,0.4344022274017334,0.007843166589736938,0.9960076808929443,42.116355895996094,0.00011155354150105268,0.5943267345428467
cifar10,Standard,Proposed-TopkPGD,1.0,True,2,0.0,1.0,818.0999755859375,0.2010742425918579,0.6565898656845093,0.01568630337715149,0.991520881652832,38.51948165893555,0.00022668320161756128,0.745715856552124
cifar10,Standard,Proposed-TopkPGD,1.0,True,3,0.0,1.0,1024.0,0.0,0.8335202932357788,0.02352944016456604,0.9868708848953247,36.43966293334961,0.0003706246498040855,0.7893650531768799
cifar10,Standard,Proposed-TopkPGD,1.0,True,4,0.0,1.0,923.9000244140625,0.09775388240814209,0.998084545135498,0.03137257695198059,0.9817752242088318,34.868324279785156,0.0006309012533165514,0.8328657150268555
cifar10,Standard,Proposed-TopkPGD,1.0,True,5,0.0,1.0,1023.9000244140625,9.763240814208984e-05,1.0327558517456055,0.03137257695198059,0.9803838133811951,34.577667236328125,0.0007141096284613013,0.8741509914398193
cifar10,Standard,Proposed-TopkPGD,1.0,True,6,0.0,1.0,964.0999755859375,0.05849611759185791,1.1031099557876587,0.03137257695198059,0.9777292609214783,33.999820709228516,0.0008512502536177635,0.9144408702850342
cifar10,Standard,Proposed-TopkPGD,1.0,True,7,0.0,1.0,1023.9000244140625,9.763240814208984e-05,1.1177752017974854,0.03137257695198059,0.9770492315292358,33.89098358154297,0.0008318375912494957,0.9550318717956543
cifar10,Standard,Proposed-TopkPGD,1.0,True,8,0.0,1.0,983.7999877929688,0.039257824420928955,1.1641600131988525,0.03137257695198059,0.9752001762390137,33.53778076171875,0.0009121107286773622,0.9973709583282471
cifar10,Standard,Proposed-TopkPGD,1.0,True,9,0.0,1.0,1023.9000244140625,9.763240814208984e-05,1.1719601154327393,0.03137257695198059,0.9746665358543396,33.4833984375,0.0009210458374582231,1.038719892501831
cifar10,Standard,Proposed-TopkPGD,1.0,True,10,0.0,1.0,996.0,0.02734375,1.200597882270813,0.03137257695198059,0.9734793901443481,33.2729606628418,0.0010133757023140788,1.0798237323760986
cifar10,Robust,Clean,0.0,False,0,0.800000011920929,0.0,0.0,1.0,0.0,0.0,1.0,inf,0.0,9.5367431640625e-07
cifar10,Robust,FGSM,0.0,False,1,0.6000000238418579,0.25,1024.0,0.0,1.7339298725128174,0.03137257695198059,0.9607001543045044,30.093494415283203,0.0055905552580952644,0.07970499992370605
cifar10,Robust,PGD,0.0,False,1,0.800000011920929,0.0,1024.0,0.0,1.0441672801971436,0.03137257695198059,0.9794130921363831,34.497291564941406,0.0009922864846885204,2.928359031677246
cifar10,Robust,PGD,0.0,False,2,0.800000011920929,0.0,1024.0,0.0,1.134230613708496,0.03137257695198059,0.9781125783920288,33.77741622924805,0.0017062636325135827,3.578313112258911
cifar10,Robust,PGD,0.0,False,3,0.699999988079071,0.125,1024.0,0.0,1.2425246238708496,0.03137257695198059,0.9764665961265564,32.984901428222656,0.002627939684316516,3.7400710582733154
