Dataset,Model,Attack,K-Ratio,Dynamic,Iteration,Accuracy,ASR,L0,Sparsity,L2,Linf,SSIM,PSNR,LPIPS,Time(s),NumSamples
cifar10,Standard,Proposed-TopkPGD,0.3,True,10,0.00999999999627471,0.9894514349190998,363.78899633789064,0.6447373082637787,0.7272795405387878,0.03137257695198059,0.9860590119361877,37.61571917724609,0.0006379964025691151,14.411003589630127,1000
cifar10,Standard,Proposed-TopkPGD,0.4,True,1,0.5399999985694885,0.43037973382050476,408.1509968261719,0.6014150421619415,0.2739725749492645,0.007843166589736938,0.9975133991241455,46.119569091796876,6.876807863591239e-05,14.33777141571045,1000
cifar10,Standard,Proposed-TopkPGD,0.4,True,3,0.09699999970197677,0.897679299367631,463.90599829101564,0.54696679854393,0.518624059677124,0.023529436007142066,0.992496949672699,40.555790771484375,0.00028268811805173756,14.33777141571045,1000
cifar10,Standard,Proposed-TopkPGD,0.4,True,5,0.022000000089406967,0.9767932169422319,496.38599609375,0.5152480506896973,0.6811615796089172,0.03137257227301598,0.9878453621864319,38.178847045898436,0.0005171459298580885,14.33777141571045,1000
cifar10,Standard,Proposed-TopkPGD,0.4,True,7,0.00799999999627471,0.991561129877839,501.58000244140624,0.5101757788658142,0.7687262115478516,0.03137257695198059,0.984845112323761,37.13114123535156,0.0006788162821903824,14.33777141571045,1000
cifar10,Standard,Proposed-TopkPGD,0.4,True,10,0.001,0.9989450932303562,478.7579997558594,0.5324628908634186,0.8359089107513428,0.03137257695198059,0.9823264002799987,36.40946453857422,0.0008361387490294874,14.33777141571045,1000
cifar10,Standard,Proposed-TopkPGD,0.5,True,1,0.5099999978542328,0.462025300265616,510.88300048828125,0.5010908198356628,0.3065055692195892,0.0078431663736701,0.9970150837898254,45.14493243408203,8.376872213557363e-05,14.293021202087402,1000
cifar10,Standard,Proposed-TopkPGD,0.5,True,3,0.07299999994039535,0.9229957574530493,567.6750053710938,0.4456298775672913,0.5844361686706543,0.023529436871409418,0.9907833905220031,39.52092358398438,0.00034328048396855594,14.293021202087402,1000
cifar10,Standard,Proposed-TopkPGD,0.5,True,5,0.015999999880790712,0.9831223196746931,605.2930034179687,0.4088935513496399,0.7629215755462646,0.03137257695198059,0.9852449116706848,37.19805081176758,0.0006169160264544189,14.293021202087402,1000
cifar10,Standard,Proposed-TopkPGD,0.5,True,7,0.002,0.997890246065357,615.383994140625,0.3990390682220459,0.85557231092453,0.03137257695198059,0.9818724842071533,36.20415383911133,0.0008098278720863163,14.293021202087402,1000
cifar10,Standard,Proposed-TopkPGD,0.5,True,10,0.0,0.9999999403953552,587.9919936523437,0.42578906869888306,0.9264434862136841,0.03137257695198059,0.9790631079673767,35.51899755859375,0.0009994087293744088,14.293021202087402,1000
cifar10,Standard,Proposed-TopkPGD,0.6,True,1,0.4949999980926514,0.4778480794799479,612.5879965820312,0.40176953458786013,0.3355978925228119,0.007843166589736938,0.996551209449768,44.35726434326172,9.805688285268843e-05,14.284184217453003,1000
cifar10,Standard,Proposed-TopkPGD,0.6,True,3,0.058000000059604644,0.9388185355356474,668.3819970703125,0.34728320598602297,0.6440591869354249,0.023529439732432364,0.9892002949714661,38.67916998291015,0.00040886153443716466,14.284184217453003,1000
cifar10,Standard,Proposed-TopkPGD,0.6,True,5,0.00799999999254942,0.9915611332730402,707.2000009765625,0.3093749990463257,0.8351138563156127,0.03137257695198059,0.9829166059494019,36.41525225830078,0.0007190196425653994,14.284184217453003,1000
cifar10,Standard,Proposed-TopkPGD,0.6,True,7,0.0,0.9999999403953552,719.3010024414062,0.2975576148033142,0.9298100481033326,0.03137257695198059,0.9792915978431702,35.48398336791992,0.0009327685316093266,14.284184217453003,1000
cifar10,Standard,Proposed-TopkPGD,0.6,True,10,0.0,0.9999999403953552,687.8230014648437,0.32829785013198853,1.0025611534118652,0.03137257695198059,0.9762986760139465,34.8353139038086,0.001138236103579402,14.284184217453003,1000
cifar10,Standard,Proposed-TopkPGD,0.7,True,1,0.47300000190734864,0.5010548281141475,714.250005859375,0.3024902286529541,0.3623322575092316,0.007843166589736938,0.9961184101104736,43.691443908691404,0.00011145585798658431,14.265872955322266,1000
cifar10,Standard,Proposed-TopkPGD,0.7,True,3,0.04499999985098839,0.9525316053930717,760.4999995117188,0.2573242192268372,0.6988377833366394,0.023529439732432364,0.9877283372879029,37.97074169921875,0.0004701414159499109,14.265872955322266,1000
cifar10,Standard,Proposed-TopkPGD,0.7,True,5,0.005999999992549419,0.993670847345505,798.5260048828125,0.22018944835662843,0.8999268817901611,0.03137257695198059,0.9808650398254395,35.7685654296875,0.0008183847893960774,14.265872955322266,1000
cifar10,Standard,Proposed-TopkPGD,0.7,True,7,0.0,0.9999999403953552,813.9340048828125,0.20514257335662842,0.995754545211792,0.03137257695198059,0.97705735206604,34.891380798339846,0.0010494221402332186,14.265872955322266,1000
cifar10,Standard,Proposed-TopkPGD,0.7,True,10,0.0,0.9999999403953552,784.6560043945312,0.2337343707084656,1.068888861656189,0.03137257695198059,0.973870861530304,34.28046890258789,0.0012571901278570295,14.265872955322266,1000
cifar10,Standard,Proposed-TopkPGD,0.8,True,1,0.46399999618530274,0.5105485010121945,816.8920043945312,0.20225390195846557,0.38743419790267947,0.007843166589736938,0.9957198677062988,43.10953634643555,0.00012428019335493446,14.20244288444519,1000
cifar10,Standard,Proposed-TopkPGD,0.8,True,3,0.03999999964237213,0.9578058656760912,848.2179956054688,0.17166211366653442,0.750666775226593,0.023529439732432364,0.9863691883087158,37.349657318115234,0.0005234454167075455,14.20244288444519,1000
cifar10,Standard,Proposed-TopkPGD,0.8,True,5,0.004999999992549419,0.9947256945105042,877.115998046875,0.14344140815734863,0.9563981900215149,0.03137257695198059,0.9791232705116272,35.24148001098633,0.0008981356574222446,14.20244288444519,1000
cifar10,Standard,Proposed-TopkPGD,0.8,True,7,0.0,0.9999999403953552,896.4069970703125,0.12460254192352295,1.0515977678298951,0.03137257695198059,0.9752043857574463,34.41933020019531,0.001133784362114966,14.20244288444519,1000
cifar10,Standard,Proposed-TopkPGD,0.8,True,10,0.0,0.9999999403953552,871.6700043945312,0.14875976133346558,1.1259790115356445,0.03137257695198059,0.9718589434623718,33.83003091430664,0.0013540660375729204,14.20244288444519,1000
cifar10,Standard,Proposed-TopkPGD,0.9,True,1,0.4539999997615814,0.5210970200692551,918.412998046875,0.10311230659484863,0.4107175409793854,0.007843166589736938,0.9953730630874634,42.602481658935545,0.00013594037375878543,14.168146133422852,1000
cifar10,Standard,Proposed-TopkPGD,0.9,True,3,0.036999999865889546,0.960970413961491,946.20500390625,0.07597167587280274,0.8004813561439514,0.023529439732432364,0.9850506200790405,36.79281689453125,0.0005751637602224946,14.168146133422852,1000
cifar10,Standard,Proposed-TopkPGD,0.9,True,5,0.002,0.997890242167163,943.14500390625,0.07895995712280274,1.0054720363616942,0.03137257695198059,0.9776880321502686,34.81004983520508,0.0009471536367200315,14.168146133422852,1000
cifar10,Standard,Proposed-TopkPGD,0.9,True,7,0.0,0.9999999403953552,958.4319965820313,0.06403125333786011,1.0966760005950928,0.03137257695198059,0.9738736305236816,34.05716766357422,0.0011963040502741933,14.168146133422852,1000
cifar10,Standard,Proposed-TopkPGD,0.9,True,10,0.0,0.9999999403953552,954.0250034179687,0.0683349575996399,1.1728407220840453,0.03137257695198059,0.9703532934188843,33.47719165039062,0.0014248781474307179,14.168146133422852,1000
cifar10,Standard,Proposed-TopkPGD,1.0,True,1,0.44899999976158145,0.5263712810438896,1020.8990029296875,0.0030283174514770506,0.4328507306575775,0.007843166589736938,0.9950922431945801,42.1463857421875,0.00014421571767888962,14.020339250564575,1000
cifar10,Standard,Proposed-TopkPGD,1.0,True,3,0.030000000089406967,0.9683544030295143,1021.7009965820313,0.0022451205253601076,0.8442892007827759,0.023529439732432364,0.9841003851890564,36.33033911132812,0.0006127167833037675,14.020339250564575,1000
cifar10,Standard,Proposed-TopkPGD,1.0,True,5,0.001,0.9989450932303562,1022.0650009765625,0.0018896474838256837,1.0395949716567994,0.03137257695198059,0.9768488011360168,34.521990295410156,0.0009916070457547904,14.020339250564575,1000
cifar10,Standard,Proposed-TopkPGD,1.0,True,7,0.0,0.9999999403953552,1022.2719951171875,0.0016875047683715821,1.125810341835022,0.03137257695198059,0.9730476369857788,33.83192739868164,0.0012297400562092662,14.020339250564575,1000
cifar10,Standard,Proposed-TopkPGD,1.0,True,10,0.0,0.9999999403953552,997.3440048828126,0.02603124523162842,1.2091357278823853,0.03137257695198059,0.9691956272125244,33.213911468505856,0.001478775835596025,14.020339250564575,1000
cifar10,Robust,Clean,0.0,False,0,0.8419999980926514,0.0,0.0,1.0,0.0,0.0,1.0,inf,0.0,0.0,1000
cifar10,Robust,FGSM,0.0,False,1,0.5380000028610229,0.3610451296502791,1022.1329936523438,0.0018232483863830566,1.728133662223816,0.03137257695198059,0.9580405402183533,30.121131042480467,0.007639336127787828,0.15607380867004395,1000
cifar10,Robust,PGD,0.0,False,1,0.7839999928474426,0.06888361065482583,1023.4929951171875,0.000495121955871582,1.0455615224838257,0.03137257695198059,0.9751598839759826,34.48507186889648,0.0011635901490226388,1.888291835784912,1000
cifar10,Robust,PGD,0.0,False,3,0.6510000042915344,0.2268408562041235,1022.835001953125,0.0011376934051513673,1.2487141275405884,0.03137257695198059,0.971504551410675,32.942738647460935,0.00328382496163249,1.888291835784912,1000
cifar10,Robust,PGD,0.0,False,5,0.5460000004768372,0.3515439325160482,1022.223994140625,0.0017343807220458985,1.4531278400421141,0.03137257695198059,0.967536796092987,31.625949096679687,0.005550821747630835,1.888291835784912,1000
cifar10,Robust,PGD,0.0,False,7,0.4919999928474426,0.4156769564344311,1022.104001953125,0.0018515605926513671,1.5838188428878783,0.03137257695198059,0.9644547472000122,30.877683456420897,0.007017395220696926,1.888291835784912,1000
cifar10,Robust,PGD,0.0,False,10,0.4749999952316284,0.43586697813450864,1021.9499926757812,0.002001960277557373,1.6332817869186402,0.03137257695198059,0.9628826122283936,30.61072737121582,0.007531003151088953,1.888291835784912,1000
cifar10,Robust,SparseFool,0.0,False,20,0.6460000042915344,0.23277909901532878,8.929000076293946,0.9912802733629942,1.3826593389511108,0.5761568393707276,0.9831986236572265,30.721372009277342,0.00513251518458128,162.96836829185486,1000
cifar10,Robust,Sparse-PGD,0.1,False,10,0.5630000028610229,0.33135391396609737,849.3149985351563,0.17059082174301146,1.3043300123214723,0.03137257695198059,0.9752007732391358,32.33323471069336,0.004993988581001758,2.2009642124176025,1000
cifar10,Robust,GreedyFool,0.1,False,10,0.6959999980926513,0.17458431934163576,153.74399926757812,0.8498593757152557,0.5842287321090698,0.03137257695198059,0.9953256559371948,39.54070474243164,0.0012397600589320063,1.8668549060821533,1000
cifar10,Robust,Sparse-PGD,0.2,False,10,0.5499999971389771,0.3467933435762863,921.8520014648437,0.09975390481948852,1.3758549308776855,0.03137257695198059,0.9720155577659607,32.06316809082031,0.0050740687027573585,2.0655198097229004,1000
