Dataset,Model,Attack,K-Ratio,Dynamic,Iteration,Accuracy,ASR,L0,Sparsity,L2,Linf,SSIM,PSNR,LPIPS,Time(s)
cifar10,Robust,Proposed-TopkPGD,0.1,True,4,0.800000011920929,0.20000000298023224,107.9000015258789,0.8946289047598839,0.49100008606910706,0.03137257695198059,0.9968290328979492,41.04922866821289,0.0006694440962746739,1.201150894165039
cifar10,Robust,Proposed-TopkPGD,0.1,True,5,0.800000011920929,0.20000000298023224,107.4000015258789,0.8951171860098839,0.5089289546012878,0.03137257695198059,0.9965699911117554,40.73932647705078,0.0007235372322611511,1.5964608192443848
cifar10,Robust,Proposed-TopkPGD,0.1,True,6,0.800000011920929,0.20000000298023224,106.0999984741211,0.8963867202401161,0.5182149410247803,0.03137257695198059,0.996425211429596,40.582881927490234,0.0007360164890997112,1.9976191520690918
cifar10,Robust,Proposed-TopkPGD,0.1,True,7,0.800000011920929,0.20000000298023224,105.5,0.89697265625,0.5208799242973328,0.03137257695198059,0.9963815808296204,40.53852844238281,0.0007440210902132094,2.3924479484558105
cifar10,Robust,Proposed-TopkPGD,0.1,True,8,0.800000011920929,0.20000000298023224,105.5,0.89697265625,0.5218334197998047,0.03137257695198059,0.9963696002960205,40.522708892822266,0.0007458463660441339,2.7845404148101807
cifar10,Robust,Proposed-TopkPGD,0.1,True,9,0.800000011920929,0.20000000298023224,105.5,0.89697265625,0.5228126645088196,0.03137257695198059,0.9963555335998535,40.50645446777344,0.0007457489264197648,3.167548418045044
cifar10,Robust,Proposed-TopkPGD,0.1,True,10,0.800000011920929,0.20000000298023224,105.5,0.89697265625,0.5230588316917419,0.03137257695198059,0.9963510632514954,40.50244903564453,0.0007476985338144004,3.5612528324127197
cifar10,Robust,Sparse-PGD,0.5,False,10,0.699999988079071,0.30000001192092896,898.7000122070312,0.12236326932907104,1.285624384880066,0.03137257695198059,0.9750090837478638,32.68781280517578,0.0030761619564145803,0.02406597137451172
cifar10,Robust,GreedyFool,0.5,False,10,0.5,0.5,699.5,0.31689453125,1.2744107246398926,0.03137257695198059,0.9782312512397766,32.76711654663086,0.004284666385501623,0.023256301879882812
cifar10,Robust,Proposed-TopkPGD,0.5,True,1,0.800000011920929,0.20000000298023224,512.0,0.5,0.30738693475723267,0.007843165658414364,0.9986156225204468,45.12050247192383,0.0002624501648824662,0.024100303649902344
cifar10,Robust,Proposed-TopkPGD,0.5,True,2,0.800000011920929,0.20000000298023224,513.7000122070312,0.49833983182907104,0.5776853561401367,0.01568630151450634,0.9952492117881775,39.63930130004883,0.0009274260373786092,0.4310886859893799
